exp_subject_id,Musician,stimulus_set,scramble,mean_response_rate
393246,Yes,1,Intact,3.6363636363636367
393249,Yes,1,1B,4.090909090909092
393249,Yes,1,2B,5.454545454545455
393249,Yes,1,8B,0.9090909090909092
393249,Yes,1,Intact,1.8181818181818183
393252,Yes,1,1B,2.272727272727273
393252,Yes,1,2B,3.181818181818182
393252,Yes,1,8B,0.9090909090909092
393252,Yes,1,Intact,1.3636363636363638
393253,No,1,1B,0.4545454545454546
393253,No,1,2B,1.3636363636363638
393253,No,1,8B,0
393253,No,1,Intact,0.4545454545454546
393254,Yes,1,1B,3.181818181818182
393254,Yes,1,2B,2.7272727272727275
393254,Yes,1,8B,1.8181818181818183
393254,Yes,1,Intact,1.8181818181818183
393267,Yes,1,1B,4.090909090909092
393267,Yes,1,2B,5
393267,Yes,1,8B,2.7272727272727275
393267,Yes,1,Intact,1.8181818181818183
393320,Yes,1,1B,6.818181818181818
393320,Yes,1,2B,6.818181818181818
393320,Yes,1,8B,4.090909090909092
393320,Yes,1,Intact,5.454545454545455
