Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,choice,clip,Condition_Id,response,responseTime,correct_incorrect_p_3,scramble_p_3,correct_incorrect_practice_p,correctCount,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,Unnamed: 45,response_seg,response_seg2,response_Time2,Unnamed: 49,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,Unnamed: 62,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
9.0,Prediction3,4.0,Prediction_3,15.0,59.0,Second,4_1B_prediction_8.mp3,6,Correct,1536.0,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,16.0,46.0,Second,4_1B_prediction_5.mp3,5,Incorrect,1340.0,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,17.0,51.0,First,3_1B_prediction_6.mp3,6,Incorrect,1827.0,incorrect_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,25.0,50.0,Second,4_8B_prediction_9.mp3,5,Incorrect,1745.0,correct_left,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,9.0,39.0,Second,4_2B_prediction_8.mp3,4,Correct,980.0,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,13.0,34.0,Second,3_2B_prediction_9.mp3,4,Correct,1028.0,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,14.0,22.0,First,3_2B_prediction_7.mp3,3,Correct,1493.0,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,21.0,35.0,First,3_2B_prediction_10.mp3,4,Incorrect,1278.0,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,23.0,38.0,First,4_2B_prediction_7.mp3,4,Incorrect,1240.0,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,24.0,36.0,Second,4_2B_prediction_5.mp3,4,Correct,959.0,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,26.0,33.0,Second,3_2B_prediction_8.mp3,4,Correct,1275.0,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,28.0,21.0,First,3_2B_prediction_6.mp3,3,Correct,2540.0,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,29.0,30.0,First,4_2B_prediction_9.mp3,3,Correct,1989.0,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,30.0,27.0,First,4_2B_prediction_6.mp3,3,Correct,1163.0,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,2.0,6.0,Second,4_8B_prediction_5.mp3,1,Incorrect,881.0,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,3.0,13.0,Second,3_8B_prediction_8.mp3,2,Correct,854.0,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,4.0,5.0,Second,3_8B_prediction_2.mp3,1,Incorrect,910.0,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,5.0,18.0,Second,4_8B_prediction_7.mp3,2,Correct,804.0,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,6.0,1.0,First,3_8B_prediction_6.mp3,1,Correct,801.0,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,18.0,2.0,First,3_8B_prediction_7.mp3,1,Correct,807.0,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,19.0,20.0,Second,4_8B_prediction_9.mp3,2,Correct,973.0,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,20.0,17.0,Second,4_8B_prediction_6.mp3,2,Correct,1004.0,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,22.0,9.0,First,4_8B_prediction_8.mp3,1,Correct,972.0,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
9.0,Prediction3,4.0,Prediction_3,27.0,4.0,First,3_8B_prediction_9.mp3,1,Correct,1159.0,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102.0,group_12,380613.0,Prediction3/Cat.2,1.0,2021-12-30T18:36:56.000Z,,,,not measured,,True
,,,,,,,,overall,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,overall acc,0.7,916.5,916.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8b,0.8,1394.5,1394.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2b,0.8,1405.8,1405.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1b,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
