Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,choice,clip,correct_incorrect_m_3,response,responseTime,scramble_m_3,correct_incorrect_practice_m,correct_incorrect_practice_p,correctCount,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,prolific_ID,prolific_ID_copy_30d1,relative_pitch,response_seg,response_seg2,response_Time2,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
6,HP_Screen,3,imported_HP Evaluation,1,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,2,imported_AP_headphone test,1,5,,,,,,,,,,two,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_S_I,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,2,imported_AP_headphone test,2,3,,,,,,,,,,one,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_O_I,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,2,imported_AP_headphone test,3,2,,,,,,,,,,two,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_S_O,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,2,imported_AP_headphone test,4,6,,,,,,,,,,three,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O_I_S,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,2,imported_AP_headphone test,5,1,,,,,,,,,,three,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I_O_S,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,2,imported_AP_headphone test,6,4,,,,,,,,,,one,,,,,,,,,,,,,,,TRUE,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S_I_O,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,1,Instructions_Memory,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,2,Practice_Memory,1,4,First,,,Incorrect,1289,,incorrect_correc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,2,Practice_Memory,2,5,Second,,,Correct,2589,,incorrect_correc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,2,Practice_Memory,3,6,First,,,Incorrect,838,,incorrect_correc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
7,AP_Screen,3,imported_AP_eval,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,3,Ready?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,3,43,Second,3_1B_memory_8.mp3,correct_left,Incorrect,1988,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,9,48,Second,4_1B_memory_7.mp3,correct_left,Incorrect,3091,1B,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,11,57,Second,4_1B_memory_6.mp3,incorrect_left,Correct,573,1B,,0.333333333,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,13,49,First,4_1B_memory_8.mp3,correct_left,Correct,2422,1B,overall,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,16,51,First,3_1B_memory_6.mp3,incorrect_left,Incorrect,891,1B,overall acc,0.633333333,0.633333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,17,50,Second,4_1B_memory_9.mp3,correct_left,Incorrect,1274,1B,8b acc,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,18,54,Second,3_1B_memory_9.mp3,incorrect_left,Correct,1072,1B,2b acc,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,23,52,First,3_1B_memory_7.mp3,incorrect_left,Incorrect,905,1B,1b acc,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,27,56,First,4_1B_memory_5.mp3,incorrect_left,Incorrect,887,1B,8b RT,1316.2,1316.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,30,55,First,3_1B_memory_10.mp3,incorrect_left,Incorrect,1788,1B,2b RT,1519,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,2,39,Second,4_2B_memory_8.mp3,incorrect_left,Correct,771,2B,1b RT,1489.1,1489.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,4,34,Second,3_2B_memory_9.mp3,incorrect_left,Correct,788,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,7,37,Second,4_2B_memory_6.mp3,incorrect_left,Correct,772,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,8,25,First,3_2B_memory_10.mp3,correct_left,Correct,3422,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,15,31,First,3_2B_memory_6.mp3,incorrect_left,Incorrect,1959,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,19,40,Second,4_2B_memory_9.mp3,incorrect_left,Correct,2005,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,20,28,First,4_2B_memory_7.mp3,correct_left,Correct,689,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,21,36,Second,4_2B_memory_5.mp3,incorrect_left,Correct,821,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,25,22,Second,3_2B_memory_7.mp3,correct_left,Incorrect,1790,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,28,33,Second,3_2B_memory_8.mp3,incorrect_left,Correct,2173,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,1,6,First,4_8B_memory_5.mp3,correct_left,Correct,1056,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,5,18,Second,4_8B_memory_7.mp3,incorrect_left,Correct,3139,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,6,9,First,4_8B_memory_8.mp3,correct_left,Correct,773,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,10,12,Second,3_8B_memory_7.mp3,incorrect_left,Correct,538,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,12,7,First,4_8B_memory_6.mp3,correct_left,Correct,1321,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,14,5,Second,3_8B_memory_10.mp3,correct_left,Incorrect,1855,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,22,1,First,3_8B_memory_6.mp3,correct_left,Correct,505,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,24,3,First,3_8B_memory_8.mp3,correct_left,Correct,1121,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,26,10,Second,4_8B_memory_9.mp3,correct_left,Incorrect,1222,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
9,Memory3,4,Memory_3,29,4,First,3_8B_memory_9.mp3,correct_left,Correct,1632,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,1,Instructions_Open,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,2,Practice_OpenEnded,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,3,Ready?,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,4,OpenEndedSeg_2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intact,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,4,OpenEndedSeg_2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,intact,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,4,OpenEndedSeg_2,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8B,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,4,OpenEndedSeg_2,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,4,OpenEndedSeg_2,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2B,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,4,OpenEndedSeg_2,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2B,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
11,OpenEndedSeg_2,4,OpenEndedSeg_2,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8B,,,,,,,,,,,,,no,,,,481810,group_3,550673,Memory3/Open2,1,2022-08-31T18:45:42.000Z,,,,not measured,,TRUE
