Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,choice,clip,Condition_Id,response,responseTime,correct_incorrect_p_3,scramble_p_3,correct_incorrect_practice_p,correctCount,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,imagery_2,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,prolific_ID,prolific_ID_copy_30d1,relative_pitch,,response_seg,response_seg2,response_Time2,,retestCount,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
9,Prediction3,4,Prediction_3,26,33,Second,3_2B_prediction_8.mp3,4,Correct,1275,incorrect_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,28,21,First,3_2B_prediction_6.mp3,3,Correct,2540,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,29,30,First,4_2B_prediction_9.mp3,3,Correct,1989,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,30,27,First,4_2B_prediction_6.mp3,3,Correct,1163,correct_left,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,2,6,Second,4_8B_prediction_5.mp3,1,Incorrect,881,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,3,13,Second,3_8B_prediction_8.mp3,2,Correct,854,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,4,5,Second,3_8B_prediction_2.mp3,1,Incorrect,910,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,5,18,Second,4_8B_prediction_7.mp3,2,Correct,804,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,6,1,First,3_8B_prediction_6.mp3,1,Correct,801,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,18,2,First,3_8B_prediction_7.mp3,1,Correct,807,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,19,20,Second,4_8B_prediction_9.mp3,2,Correct,973,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,20,17,Second,4_8B_prediction_6.mp3,2,Correct,1004,incorrect_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,22,9,First,4_8B_prediction_8.mp3,1,Correct,972,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
9,Prediction3,4,Prediction_3,27,4,First,3_8B_prediction_9.mp3,1,Correct,1159,correct_left,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-30T19:21:16.000Z,344102,group_12,380613,Prediction3/Cat.2,1,2021-12-30T18:36:56.000Z,,,,not measured,,TRUE
,,,,,,,,overall,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,overall acc,0.7,916.5,916.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8b,0.8,1394.5,1394.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2b,0.8,1405.8,1405.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1b,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
