Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,correct_incorrect_p_3,response,scramble_p_3,correct_incorrect_practice_p,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_choice,participant_choice_2,participant_choice2,participant_spacePress,participant_spacePress2,played_notplayed,practice_catseg_scramble,relative_pitch,Unnamed: 47,responseTime,scramble_level,Unnamed: 50,set1response,soundName,strategy,time_atClipStart1,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
11,OpenEndedSeg_2,2,Practice_OpenEnded,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640396795966;1640396801684---values=24665;30383""",,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
11,OpenEndedSeg_2,1,Instructions_Open,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,4,57,,,,,Second,4_1B_prediction_6.mp3,6,incorrect_left,Correct,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3277.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,7,43,,,,,Second,3_1B_prediction_8.mp3,5,correct_left,Incorrect,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,8,44,,,,,First,3_1B_prediction_9.mp3,5,correct_left,Correct,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,11,45,,,,,Second,3_1B_prediction_10.mp3,5,correct_left,Incorrect,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,14,56,,,,,,4_1B_prediction_5.mp3,6,incorrect_left,,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,15,49,,,,,First,4_1B_prediction_8.mp3,5,correct_left,Correct,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1213.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,17,50,,,,,Second,4_8B_prediction_9.mp3,5,correct_left,Incorrect,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3275.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,25,42,,,,,First,3_1B_prediction_7.mp3,5,correct_left,Correct,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,26,48,,,,,Second,4_1B_prediction_7.mp3,5,correct_left,Incorrect,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,27,41,,,,,Second,3_1B_prediction_6.mp3,5,correct_left,Incorrect,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,1,22,,,,,Second,3_2B_prediction_7.mp3,3,correct_left,Incorrect,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1805.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,2,25,,,,,First,3_2B_prediction_10.mp3,3,correct_left,Correct,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,5,26,,,,,,4_2B_prediction_5.mp3,3,correct_left,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,10,39,,,,,First,4_2B_prediction_8.mp3,4,incorrect_left,Incorrect,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,13,38,,,,,First,4_2B_prediction_7.mp3,4,incorrect_left,Incorrect,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,16,37,,,,,Second,4_2B_prediction_6.mp3,4,incorrect_left,Correct,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,18,34,,,,,Second,3_2B_prediction_9.mp3,4,incorrect_left,Correct,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,22,31,,,,,Second,3_2B_prediction_6.mp3,4,incorrect_left,Correct,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,23,33,,,,,First,3_2B_prediction_8.mp3,4,incorrect_left,Incorrect,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,28,30,,,,,Second,4_2B_prediction_9.mp3,3,correct_left,Incorrect,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1015.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,3,17,,,,,Second,4_8B_prediction_6.mp3,2,incorrect_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,6,11,,,,,Second,3_8B_prediction_6.mp3,2,incorrect_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1193.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,9,16,,,,,Second,4_8B_prediction_5.mp3,2,incorrect_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,12,9,,,,,First,4_8B_prediction_8.mp3,1,correct_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1371.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,19,18,,,,,Second,4_8B_prediction_7.mp3,2,incorrect_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,20,14,,,,,Second,3_8B_prediction_9.mp3,2,incorrect_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3067.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,21,2,,,,,Second,3_8B_prediction_7.mp3,1,correct_left,Incorrect,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1145.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,24,3,,,,,First,3_8B_prediction_8.mp3,1,correct_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2268.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,29,20,,,,,First,4_8B_prediction_9.mp3,2,incorrect_left,Incorrect,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,30,15,,,,,Second,3_8B_prediction_2.mp3,2,incorrect_left,Correct,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,2,Practice_Prediction,1,2,,,,,First,,1,,Correct,,correct_incorrect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1561.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,2,Practice_Prediction,2,6,,,,,First,,2,,Incorrect,,incorrect_correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3405.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,2,Practice_Prediction,3,4,,,,,Second,,2,,Correct,,incorrect_correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.0,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
9,Prediction3,1,Instructions_Prediction,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,3,imported_HP Evaluation,1,1,,,,,,,1,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,1,4,,,,,,,1,,choice 3,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.3.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,hp5.3.flac,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,2,5,,,,,,,1,,choice 2,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp1.2.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,hp1.2.flac,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,3,3,,,,,,,1,,choice 2,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp6.2.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,hp6.2.flac,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,4,1,,,,,,,1,,choice 2,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp3.2.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,hp3.2.flac,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,5,2,,,,,,,1,,choice 1,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp5.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,hp5.1.flac,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,6,6,,,,,,,1,,choice 1,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp2.1.flac,,,,,,,,,,,,,,,,,,,,,,,,,,,hp2.1.flac,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
7,HP_Screen,1,imported_HP Instructions,1,1,,,,,,,1,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,3,imported_AP_eval,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,1,4,,,,,,,4,,,,,one,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,S_I_O,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,2,3,,,,,,,3,,,,,one,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,S_O_I,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,3,5,,,,,,,5,,,,,two,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,O_S_I,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,4,1,,,,,,,1,,,,,three,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,I_O_S,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,5,2,,,,,,,2,,,,,two,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,I_S_O,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,6,6,,,,,,,6,,,,,three,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,O_I_S,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
6,AP_Screen,1,imported_AP_instruction,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
4,GenInstructPredOpen,1,InstructionsPredOpen,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
2,Consent,1,Consent,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T02:09:26.000Z,342256,group_9,378327,Prediction3/Open2,1,2021-12-25T01:22:07.000Z,,,,not measured,,True
