Block_Nr,Block_Name,Task_Nr,Task_Name,Trial_Nr,Trial_Id,ab_pitch,age_range,answer,best_instru,choice,clip,Condition_Id,correct_incorrect_p_3,correct_incorrect_practice_p,response,responseTime,scramble_p_3,decision,earworm,errorCount,exampleCount,familiarity,fileArray,filePick,Frequenc,genre,genre_3,genre_4,hour,imagery,Instr,isCorrect,listen_time,music_theory,name_instru,nrErrors,num_instru,participant_spacePress,participant_spacePress2,played_notplayed,relative_pitch,Unnamed: 44,Unnamed: 45,scramble_cat_1,scramble_level,Unnamed: 48,soundName,strategy,toneSequence,always_fullscreen,completed,crowdsourcing_code,crowdsourcing_subj_id,end_time,exp_subject_id,group_name,rec_session_id,session_name,session_nr,start_time,subj_counter_global,subj_counter_per_group,subject_code,time_delay_offset,time_measure_std,unlocked
11,OpenEndedSeg_2,2,Practice_OpenEnded,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,"""times=1640395664586;1640395675634;1640395691978;1640395702366;1640395704808---values=13667;24715;41059;51447;53889""","""times=1640395738805;1640395752555;1640395770973;1640395780159;1640395797438---values=12475;26225;44643;53829;71108""",,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
11,OpenEndedSeg_2,1,Instructions_Open,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,1,39,,,,,Second,4_2B_prediction_8.mp3,4,incorrect_left,,Correct,1606.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,2,26,,,,,First,4_2B_prediction_5.mp3,3,correct_left,,Correct,761.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,3,33,,,,,Second,3_2B_prediction_8.mp3,4,incorrect_left,,Correct,1345.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,4,31,,,,,First,3_2B_prediction_6.mp3,4,incorrect_left,,Incorrect,1804.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,5,11,,,,,Second,3_8B_prediction_6.mp3,2,incorrect_left,,Correct,919.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,6,35,,,,,Second,3_2B_prediction_10.mp3,4,incorrect_left,,Correct,692.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,7,5,,,,,Second,3_8B_prediction_2.mp3,1,correct_left,,Incorrect,1260.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,8,40,,,,,Second,4_2B_prediction_9.mp3,4,incorrect_left,,Correct,1312.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,9,24,,,,,First,3_2B_prediction_9.mp3,3,correct_left,,Correct,584.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,10,8,,,,,First,4_8B_prediction_7.mp3,1,correct_left,,Correct,1013.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,11,56,,,,,Second,4_1B_prediction_5.mp3,6,incorrect_left,,Correct,550.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,12,59,,,,,Second,4_1B_prediction_8.mp3,6,incorrect_left,,Correct,1222.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,13,50,,,,,Second,4_8B_prediction_9.mp3,5,correct_left,,Incorrect,2365.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,14,38,,,,,First,4_2B_prediction_7.mp3,4,incorrect_left,,Incorrect,611.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,15,37,,,,,Second,4_2B_prediction_6.mp3,4,incorrect_left,,Correct,858.0,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,16,51,,,,,First,3_1B_prediction_6.mp3,6,incorrect_left,,Incorrect,2998.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,17,9,,,,,Second,4_8B_prediction_8.mp3,1,correct_left,,Incorrect,1584.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,18,14,,,,,,3_8B_prediction_9.mp3,2,incorrect_left,,,,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,19,45,,,,,Second,3_1B_prediction_10.mp3,5,correct_left,,Incorrect,804.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,20,48,,,,,First,4_1B_prediction_7.mp3,5,correct_left,,Correct,3147.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,21,43,,,,,Second,3_1B_prediction_8.mp3,5,correct_left,,Incorrect,1062.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,22,22,,,,,,3_2B_prediction_7.mp3,3,correct_left,,,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,23,2,,,,,First,3_8B_prediction_7.mp3,1,correct_left,,Correct,657.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,24,17,,,,,Second,4_8B_prediction_6.mp3,2,incorrect_left,,Correct,2278.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,25,6,,,,,,4_8B_prediction_5.mp3,1,correct_left,,,,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,26,44,,,,,First,3_1B_prediction_9.mp3,5,correct_left,,Correct,1293.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,27,10,,,,,Second,4_8B_prediction_9.mp3,1,correct_left,,Incorrect,870.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,28,57,,,,,Second,4_1B_prediction_6.mp3,6,incorrect_left,,Correct,778.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,29,3,,,,,First,3_8B_prediction_8.mp3,1,correct_left,,Correct,579.0,8B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,4,Prediction_3,30,52,,,,,First,3_1B_prediction_7.mp3,6,incorrect_left,,Incorrect,1759.0,1B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,3,Ready?,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,2,Practice_Prediction,1,1,,,,,Second,,1,,correct_incorrect,Incorrect,2728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,2,Practice_Prediction,2,6,,,,,First,,2,,incorrect_correct,Incorrect,1170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,2,Practice_Prediction,3,2,,,,,Second,,1,,correct_incorrect,Incorrect,729.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
9,Prediction3,1,Instructions_Prediction,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,3,imported_HP Evaluation,1,1,,,,,,,1,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,1,4,,,,,,,1,,,choice 1,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp6.1.flac,,,,,,,,,,,,,,,,,,,,,,,hp6.1.flac,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,2,2,,,,,,,1,,,choice 3,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp4.3.flac,,,,,,,,,,,,,,,,,,,,,,,hp4.3.flac,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,3,1,,,,,,,1,,,choice 2,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp2.2.flac,,,,,,,,,,,,,,,,,,,,,,,hp2.2.flac,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,4,3,,,,,,,1,,,choice 1,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp4.1.flac,,,,,,,,,,,,,,,,,,,,,,,hp4.1.flac,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,5,5,,,,,,,1,,,choice 1,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp1.1.flac,,,,,,,,,,,,,,,,,,,,,,,hp1.1.flac,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,2,imported_HP Trials,6,6,,,,,,,1,,,choice 2,,,,,0.0,,,"""times=;;;;;;;;;;;;;;;;;---values=;;;;;;;;;;;;;;;;;""",hp3.2.flac,,,,,,,,,,,,,,,,,,,,,,,hp3.2.flac,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
7,HP_Screen,1,imported_HP Instructions,1,1,,,,,,,1,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,3,imported_AP_eval,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,1,5,,,,,,,5,,,,,,two,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,O_S_I,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,2,2,,,,,,,2,,,,,,two,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,I_S_O,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,3,1,,,,,,,1,,,,,,three,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,I_O_S,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,4,6,,,,,,,6,,,,,,three,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,O_I_S,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,5,3,,,,,,,3,,,,,,one,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,S_O_I,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,2,imported_AP_headphone test,6,4,,,,,,,4,,,,,,one,,,,,,,,,,,,,,1.0,,,,0.0,,,,,,,,,,,,,S_I_O,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
6,AP_Screen,1,imported_AP_instruction,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
4,GenInstructPredOpen,1,InstructionsPredOpen,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
2,Consent,1,Consent,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,2021-12-25T01:51:03.000Z,342215,group_9,378286,Prediction3/Open2,1,2021-12-25T01:06:21.000Z,,,,not measured,,True
