exp_subject_id,Task_Name,Trial_Nr,participant_spacePress2,practice_catseg_scramble,scramble_cat_1,scramble_cat_3,scramble_cat_4,scramble_catseg_4,scramble_level,scramble_m_1,scramble_m_2,scramble_m_3,scramble_open_3,scramble_p_1,scramble_p_2,scramble_p_3
342265.0,Prediction_3,21.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,22.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,23.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,24.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,25.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,26.0,,,,,,,,,,,,,,1B
342265.0,Prediction_3,27.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,28.0,,,,,,,,,,,,,,2B
342265.0,Prediction_3,29.0,,,,,,,,,,,,,,8B
342265.0,Prediction_3,30.0,,,,,,,,,,,,,,2B
342265.0,Ready?,1.0,,,,,,,,,,,,,,
342265.0,Practice_Prediction,1.0,,,,,,,,,,,,,,
342265.0,Practice_Prediction,2.0,,,,,,,,,,,,,,
342265.0,Practice_Prediction,3.0,,,,,,,,,,,,,,
342265.0,Instructions_Prediction,1.0,,,,,,,,,,,,,,
342265.0,imported_AP_eval,1.0,,,,,,,,,,,,,,
342265.0,imported_AP_headphone test,1.0,,,,,,,,,,,,,,
342265.0,imported_AP_headphone test,2.0,,,,,,,,,,,,,,
342265.0,imported_AP_headphone test,3.0,,,,,,,,,,,,,,
342265.0,imported_AP_headphone test,4.0,,,,,,,,,,,,,,
342265.0,imported_AP_headphone test,5.0,,,,,,,,,,,,,,
342265.0,imported_AP_headphone test,6.0,,,,,,,,,,,,,,
342265.0,imported_AP_instruction,1.0,,,,,,,,,,,,,,
342265.0,imported_HP Evaluation,1.0,,,,,,,,,,,,,,
342265.0,imported_HP Trials,1.0,,,,,,,,,,,,,,
342265.0,imported_HP Trials,2.0,,,,,,,,,,,,,,
342265.0,imported_HP Trials,3.0,,,,,,,,,,,,,,
342265.0,imported_HP Trials,4.0,,,,,,,,,,,,,,
342265.0,imported_HP Trials,5.0,,,,,,,,,,,,,,
342265.0,imported_HP Trials,6.0,,,,,,,,,,,,,,
342265.0,imported_HP Instructions,1.0,,,,,,,,,,,,,,
342265.0,InstructionsPredOpen,1.0,,,,,,,,,,,,,,
342265.0,Consent,1.0,,,,,,,,,,,,,,
362610.0,Post-Survey,1.0,,,,,,,,,,,,,,
362610.0,CategorizationSeg_2,1.0,,,8B,,,,,,,,,,,
362610.0,CategorizationSeg_2,2.0,,,8B,,,,,,,,,,,
362610.0,CategorizationSeg_2,3.0,,,1B,,,,,,,,,,,
362610.0,CategorizationSeg_2,4.0,,,intact,,,,,,,,,,,
362610.0,CategorizationSeg_2,5.0,,,intact,,,,,,,,,,,
362610.0,CategorizationSeg_2,6.0,,,1B,,,,,,,,,,,
362610.0,CategorizationSeg_2,7.0,,,2B,,,,,,,,,,,
362610.0,CategorizationSeg_2,8.0,,,2B,,,,,,,,,,,
362610.0,Ready?,1.0,,,,,,,,,,,,,,
362610.0,Practice_Categorization,1.0,,2B,,,,,,,,,,,,
362610.0,Instructions for Categorization Seg.,1.0,,,,,,,,,,,,,,
362610.0,Memory_3,1.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,2.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,3.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,4.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,5.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,6.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,7.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,8.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,9.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,10.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,11.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,12.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,13.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,14.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,15.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,16.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,17.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,18.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,19.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,20.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,21.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,22.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,23.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,24.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,25.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,26.0,,,,,,,,,,8B,,,,
362610.0,Memory_3,27.0,,,,,,,,,,1B,,,,
362610.0,Memory_3,28.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,29.0,,,,,,,,,,2B,,,,
362610.0,Memory_3,30.0,,,,,,,,,,1B,,,,
362610.0,Ready?,1.0,,,,,,,,,,,,,,
362610.0,Practice_Memory,1.0,,,,,,,,,,,,,,
362610.0,Practice_Memory,2.0,,,,,,,,,,,,,,
362610.0,Practice_Memory,3.0,,,,,,,,,,,,,,
362610.0,Instructions_Memory,1.0,,,,,,,,,,,,,,
362610.0,imported_AP_eval,1.0,,,,,,,,,,,,,,
362610.0,imported_AP_headphone test,1.0,,,,,,,,,,,,,,
362610.0,imported_AP_headphone test,2.0,,,,,,,,,,,,,,
362610.0,imported_AP_headphone test,3.0,,,,,,,,,,,,,,
362610.0,imported_AP_headphone test,4.0,,,,,,,,,,,,,,
362610.0,imported_AP_headphone test,5.0,,,,,,,,,,,,,,
362610.0,imported_AP_headphone test,6.0,,,,,,,,,,,,,,
362610.0,imported_AP_instruction,1.0,,,,,,,,,,,,,,
362610.0,imported_HP Evaluation,1.0,,,,,,,,,,,,,,
362610.0,imported_HP Trials,1.0,,,,,,,,,,,,,,
362610.0,imported_HP Trials,2.0,,,,,,,,,,,,,,
362610.0,imported_HP Trials,3.0,,,,,,,,,,,,,,
362610.0,imported_HP Trials,4.0,,,,,,,,,,,,,,
362610.0,imported_HP Trials,5.0,,,,,,,,,,,,,,
362610.0,imported_HP Trials,6.0,,,,,,,,,,,,,,
362610.0,imported_HP Instructions,1.0,,,,,,,,,,,,,,
362610.0,InstructionsMemCat,1.0,,,,,,,,,,,,,,
362610.0,Consent,1.0,,,,,,,,,,,,,,
481883.0,Consent,1.0,,,,,,,,,,,,,,
481883.0,InstructionsMemOpen,1.0,,,,,,,,,,,,,,
481883.0,imported_AP_headphone test,1.0,,,,,,,,,,,,,,
481883.0,imported_AP_headphone test,2.0,,,,,,,,,,,,,,
481883.0,imported_AP_headphone test,3.0,,,,,,,,,,,,,,
481883.0,imported_AP_headphone test,4.0,,,,,,,,,,,,,,
481883.0,imported_AP_headphone test,5.0,,,,,,,,,,,,,,
481883.0,imported_AP_headphone test,6.0,,,,,,,,,,,,,,
481883.0,imported_AP_eval,1.0,,,,,,,,,,,,,,
481883.0,imported_AP_instruction,1.0,,,,,,,,,,,,,,
481883.0,imported_HP Instructions,1.0,,,,,,,,,,,,,,
481883.0,imported_HP Trials,1.0,,,,,,,,,,,,,,
481883.0,imported_HP Trials,2.0,,,,,,,,,,,,,,
481883.0,imported_HP Trials,3.0,,,,,,,,,,,,,,
481883.0,imported_HP Trials,4.0,,,,,,,,,,,,,,
481883.0,imported_HP Trials,5.0,,,,,,,,,,,,,,
481883.0,imported_HP Trials,6.0,,,,,,,,,,,,,,
481883.0,imported_HP Evaluation,1.0,,,,,,,,,,,,,,
481883.0,Instructions_Memory,1.0,,,,,,,,,,,,,,
481883.0,Practice_Memory,1.0,,,,,,,,,,,,,,
481883.0,Practice_Memory,2.0,,,,,,,,,,,,,,
481883.0,Practice_Memory,3.0,,,,,,,,,,,,,,
481883.0,Ready?,1.0,,,,,,,,,,,,,,
481883.0,Memory_2,1.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,2.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,3.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,4.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,5.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,6.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,7.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,8.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,9.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,10.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,11.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,12.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,13.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,14.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,15.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,16.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,17.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,18.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,19.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,20.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,21.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,22.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,23.0,,,,,,,,,1B,,,,,
481883.0,Memory_2,24.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,25.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,26.0,,,,,,,,,8B,,,,,
481883.0,Memory_2,27.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,28.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,29.0,,,,,,,,,2B,,,,,
481883.0,Memory_2,30.0,,,,,,,,,2B,,,,,
481883.0,Instructions_Open,1.0,,,,,,,,,,,,,,
481883.0,Practice_OpenEnded,1.0,"""times=1661978305785;1661978315741;1661978334423;1661978347436;1661978359419---values=15515;25471;44153;57166;69149""",,,,,,,,,,,,,
481883.0,Ready?,1.0,,,,,,,,,,,,,,
481883.0,OpenEndedSeg_3,1.0,"""times=1661978375139;1661978447735;1661978457713;1661978468987;1661978488385;1661978495146;1661978507032---values=;5457;15435;26709;46107;52868;64754""",,,,,,,,,,1B,,,
481883.0,OpenEndedSeg_3,2.0,"""times=1661978509311;1661978592248;1661978593695;1661978602151;1661978611092;1661978635394---values=;15600;17047;25503;34444;58746""",,,,,,,,,,intact,,,
481883.0,OpenEndedSeg_3,3.0,"""times=1661978643813;1661978715180;1661978722311;1661978728041;1661978735512;1661978744293;1661978752694;1661978760377;1661978770151;1661978775379---values=;3713;10844;16574;24045;32826;41227;48910;58684;63912""",,,,,,,,,,8B,,,
481883.0,OpenEndedSeg_3,4.0,"""times=1661978778932;1661978863185;1661978873787;1661978878754;1661978893913---values=;16498;27100;32067;47226""",,,,,,,,,,8B,,,
481883.0,OpenEndedSeg_3,5.0,"""times=1661978914223;1661978986694;1661978996727;1661979006754;1661979014976;1661979020830;1661979030764;1661979039997---values=;4503;14536;24563;32785;38639;48573;57806""",,,,,,,,,,2B,,,
481883.0,OpenEndedSeg_3,6.0,"""times=1661979049964;1661979119689;1661979120033;1661979131346;1661979146611;1661979162421;1661979164098;1661979170963;1661979177011---values=;3528;3872;15185;30450;46260;47937;54802;60850""",,,,,,,,,,intact,,,
481883.0,OpenEndedSeg_3,7.0,"""times=1661979182158;1661979254639;1661979264243;1661979277033;1661979284681;1661979293499---values=;8826;18430;31220;38868;47686""",,,,,,,,,,1B,,,
481883.0,OpenEndedSeg_3,8.0,"""times=1661979309341;1661979386043;1661979397013;1661979414057;1661979423055;1661979432734---values=;9579;20549;37593;46591;56270""",,,,,,,,,,2B,,,
481883.0,Post-Survey,1.0,,,,,,,,,,,,,,
481854.0,InstructionsPredOpen,1.0,,,,,,,,,,,,,,
481854.0,imported_HP Instructions,1.0,,,,,,,,,,,,,,
481854.0,imported_AP_instruction,1.0,,,,,,,,,,,,,,
481854.0,imported_AP_headphone test,1.0,,,,,,,,,,,,,,
481854.0,imported_AP_headphone test,2.0,,,,,,,,,,,,,,
481854.0,imported_AP_headphone test,3.0,,,,,,,,,,,,,,
481854.0,imported_AP_headphone test,4.0,,,,,,,,,,,,,,
481854.0,imported_AP_headphone test,5.0,,,,,,,,,,,,,,
481854.0,imported_AP_headphone test,6.0,,,,,,,,,,,,,,
481854.0,imported_AP_eval,1.0,,,,,,,,,,,,,,
481854.0,Prediction_2,1.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,2.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,3.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,4.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,5.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,6.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,7.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,8.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,9.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,10.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,11.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,12.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,13.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,14.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,15.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,16.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,17.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,18.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,19.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,20.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,21.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,22.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,23.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,24.0,,,,,,,,,,,,,8B,
481854.0,Prediction_2,25.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,26.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,27.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,28.0,,,,,,,,,,,,,2B,
481854.0,Prediction_2,29.0,,,,,,,,,,,,,1B,
481854.0,Prediction_2,30.0,,,,,,,,,,,,,8B,
481854.0,Instructions_Prediction,1.0,,,,,,,,,,,,,,
481854.0,Practice_Prediction,1.0,,,,,,,,,,,,,,
481854.0,Practice_Prediction,2.0,,,,,,,,,,,,,,
481854.0,Practice_Prediction,3.0,,,,,,,,,,,,,,
481854.0,Ready?,1.0,,,,,,,,,,,,,,
481854.0,Instructions_Open,1.0,,,,,,,,,,,,,,
481854.0,Practice_OpenEnded,1.0,"""times=1661977163756---values=15422""",,,,,,,,,,,,,
481854.0,Ready?,1.0,,,,,,,,,,,,,,
481854.0,OpenEndedSeg_3,1.0,"""times=1661977233088;1661977318445;1661977328173;1661977335045;1661977363044---values=;19437;29165;36037;64036""",,,,,,,,,,intact,,,
481854.0,OpenEndedSeg_3,2.0,"""times=1661977364950;1661977442284;1661977455184;1661977466980;1661977492357---values=;9649;22549;34345;59722""",,,,,,,,,,2B,,,
481854.0,OpenEndedSeg_3,3.0,"""times=1661977500338;1661977597325;1661977600788;1661977625480;1661977630114---values=;29656;33119;57811;62445""",,,,,,,,,,8B,,,
481854.0,OpenEndedSeg_3,4.0,"""times=1661977635007;1661977718804;1661977737442;1661977753012---values=;16706;35344;50914""",,,,,,,,,,intact,,,
481854.0,OpenEndedSeg_3,5.0,"""times=1661977769189;1661977841176;1661977845070;1661977849290;1661977853801;1661977858819;1661977862170;1661977866256;1661977871660;1661977881246;1661977894308;1661977897605---values=;4766;8660;12880;17391;22409;25760;29846;35250;44836;57898;61195""",,,,,,,,,,2B,,,
481854.0,OpenEndedSeg_3,6.0,"""times=1661977903630;1661977974319;1661977980150;1661977982171;1661977989608;1661977996076;1661978000726;1661978010888;1661978022030---values=;7229;13060;15081;22518;28986;33636;43798;54940""",,,,,,,,,,1B,,,
481854.0,OpenEndedSeg_3,7.0,"""times=1661978030552;1661978108953;1661978112310;1661978127971;1661978142154;1661978150967;1661978162603---values=;11414;14771;30432;44615;53428;65064""",,,,,,,,,,1B,,,
481854.0,OpenEndedSeg_3,8.0,"""times=1661978164526;1661978248658;1661978262552;1661978279082---values=;16671;30565;47095""",,,,,,,,,,8B,,,
481854.0,Post-Survey,1.0,,,,,,,,,,,,,,
481854.0,imported_HP Trials,1.0,,,,,,,,,,,,,,
481854.0,imported_HP Trials,2.0,,,,,,,,,,,,,,
481854.0,imported_HP Trials,3.0,,,,,,,,,,,,,,
481854.0,imported_HP Trials,4.0,,,,,,,,,,,,,,
481854.0,imported_HP Trials,5.0,,,,,,,,,,,,,,
481854.0,imported_HP Trials,6.0,,,,,,,,,,,,,,
481854.0,imported_HP Evaluation,1.0,,,,,,,,,,,,,,
481854.0,Consent,1.0,,,,,,,,,,,,,,
346822.0,Post-Survey,1.0,,,,,,,,,,,,,,
346822.0,CategorizationSeg_2,1.0,,,2B,,,,,,,,,,,
346822.0,CategorizationSeg_2,2.0,,,8B,,,,,,,,,,,
346822.0,CategorizationSeg_2,3.0,,,2B,,,,,,,,,,,
346822.0,CategorizationSeg_2,4.0,,,1B,,,,,,,,,,,
346822.0,CategorizationSeg_2,5.0,,,intact,,,,,,,,,,,
346822.0,CategorizationSeg_2,6.0,,,intact,,,,,,,,,,,
346822.0,CategorizationSeg_2,7.0,,,1B,,,,,,,,,,,
346822.0,CategorizationSeg_2,8.0,,,8B,,,,,,,,,,,
346822.0,Ready?,1.0,,,,,,,,,,,,,,
346822.0,Practice_Categorization,1.0,,1B,,,,,,,,,,,,
346822.0,Instructions for Categorization Seg.,1.0,,,,,,,,,,,,,,
346822.0,Prediction_3,1.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,2.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,3.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,4.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,5.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,6.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,7.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,8.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,9.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,10.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,11.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,12.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,13.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,14.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,15.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,16.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,17.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,18.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,19.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,20.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,21.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,22.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,23.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,24.0,,,,,,,,,,,,,,8B
346822.0,Prediction_3,25.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,26.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,27.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,28.0,,,,,,,,,,,,,,1B
346822.0,Prediction_3,29.0,,,,,,,,,,,,,,2B
346822.0,Prediction_3,30.0,,,,,,,,,,,,,,2B
346822.0,Ready?,1.0,,,,,,,,,,,,,,
346822.0,Practice_Prediction,1.0,,,,,,,,,,,,,,
346822.0,Practice_Prediction,2.0,,,,,,,,,,,,,,
346822.0,Practice_Prediction,3.0,,,,,,,,,,,,,,
346822.0,Instructions_Prediction,1.0,,,,,,,,,,,,,,
346822.0,imported_AP_eval,1.0,,,,,,,,,,,,,,
346822.0,imported_AP_headphone test,1.0,,,,,,,,,,,,,,
346822.0,imported_AP_headphone test,2.0,,,,,,,,,,,,,,
346822.0,imported_AP_headphone test,3.0,,,,,,,,,,,,,,
346822.0,imported_AP_headphone test,4.0,,,,,,,,,,,,,,
346822.0,imported_AP_headphone test,5.0,,,,,,,,,,,,,,
346822.0,imported_AP_headphone test,6.0,,,,,,,,,,,,,,
346822.0,imported_AP_instruction,1.0,,,,,,,,,,,,,,
346822.0,imported_HP Evaluation,1.0,,,,,,,,,,,,,,
346822.0,imported_HP Trials,1.0,,,,,,,,,,,,,,
346822.0,imported_HP Trials,2.0,,,,,,,,,,,,,,
346822.0,imported_HP Trials,3.0,,,,,,,,,,,,,,
346822.0,imported_HP Trials,4.0,,,,,,,,,,,,,,
346822.0,imported_HP Trials,5.0,,,,,,,,,,,,,,
346822.0,imported_HP Trials,6.0,,,,,,,,,,,,,,
346822.0,imported_HP Instructions,1.0,,,,,,,,,,,,,,
346822.0,InstructionsPredCat,1.0,,,,,,,,,,,,,,
346822.0,Consent,1.0,,,,,,,,,,,,,,
483528.0,Post-Survey,1.0,,,,,,,,,,,,,,
483528.0,Consent,1.0,,,,,,,,,,,,,,
483528.0,InstructionsMemCat,1.0,,,,,,,,,,,,,,
483528.0,imported_HP Instructions,1.0,,,,,,,,,,,,,,
483528.0,imported_HP Trials,1.0,,,,,,,,,,,,,,
483528.0,imported_HP Trials,2.0,,,,,,,,,,,,,,
483528.0,imported_HP Trials,3.0,,,,,,,,,,,,,,
483528.0,imported_HP Trials,4.0,,,,,,,,,,,,,,
483528.0,imported_HP Trials,5.0,,,,,,,,,,,,,,
483528.0,imported_HP Trials,6.0,,,,,,,,,,,,,,
483528.0,imported_AP_instruction,1.0,,,,,,,,,,,,,,
483528.0,Instructions_Memory,1.0,,,,,,,,,,,,,,
483528.0,Practice_Memory,1.0,,,,,,,,,,,,,,
483528.0,Practice_Memory,2.0,,,,,,,,,,,,,,
483528.0,Practice_Memory,3.0,,,,,,,,,,,,,,
483528.0,imported_HP Evaluation,1.0,,,,,,,,,,,,,,
483528.0,imported_AP_headphone test,1.0,,,,,,,,,,,,,,
483528.0,imported_AP_headphone test,2.0,,,,,,,,,,,,,,
483528.0,imported_AP_headphone test,3.0,,,,,,,,,,,,,,
483528.0,imported_AP_headphone test,4.0,,,,,,,,,,,,,,
483528.0,imported_AP_headphone test,5.0,,,,,,,,,,,,,,
483528.0,imported_AP_headphone test,6.0,,,,,,,,,,,,,,
483528.0,imported_AP_eval,1.0,,,,,,,,,,,,,,
483528.0,Ready?,1.0,,,,,,,,,,,,,,
483528.0,Memory_2,1.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,2.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,3.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,4.0,,,,,,,,,8B,,,,,
483528.0,Memory_2,5.0,,,,,,,,,8B,,,,,
483528.0,Memory_2,6.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,7.0,,,,,,,,,8B,,,,,
483528.0,Memory_2,8.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,9.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,10.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,11.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,12.0,,,,,,,,,8B,,,,,
483528.0,Memory_2,13.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,14.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,15.0,,,,,,,,,8B,,,,,
483528.0,Memory_2,16.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,17.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,18.0,,,,,,,,,8B,,,,,
483528.0,Memory_2,19.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,20.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,21.0,,,,,,,,,1B,,,,,
483528.0,Memory_2,22.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,23.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,24.0,,,,,,,,,8B,,,,,
483528.0,Memory_2,25.0,,,,,,,,,2B,,,,,
483528.0,Memory_2,26.0,,,,,,,,,8B,,,,,
