exp_subject_id,stimulus_set,Musician,scramble,mean_response_rate
393252,1,Yes,1B,2.272727272727273
393252,1,Yes,2B,3.181818181818182
393252,1,Yes,8B,0.9090909090909092
393252,1,Yes,Intact,1.3636363636363638
393253,1,No,1B,0.4545454545454546
393253,1,No,2B,1.3636363636363638
393253,1,No,8B,0.4545454545454546
393253,1,No,Intact,0.4545454545454546
393254,1,Yes,1B,3.181818181818182
393254,1,Yes,2B,2.7272727272727275
393254,1,Yes,8B,1.8181818181818183
393254,1,Yes,Intact,1.8181818181818183
393267,1,Yes,1B,4.090909090909092
393267,1,Yes,2B,5
393267,1,Yes,8B,2.7272727272727275
393267,1,Yes,Intact,1.8181818181818183
393320,1,Yes,1B,6.818181818181818
393320,1,Yes,2B,6.818181818181818
393320,1,Yes,8B,4.090909090909092
393320,1,Yes,Intact,5.454545454545455
342236,3,No,1B,8.4375
342236,3,No,2B,11.25
342236,3,No,8B,7.03125
342236,3,No,intact,5.15625
342299,3,Yes,1B,12.65625
342299,3,Yes,2B,12.1875
342299,3,Yes,8B,4.21875
342299,3,Yes,intact,1.875
342301,3,Yes,1B,5.625
342301,3,Yes,2B,7.03125
342301,3,Yes,8B,3.28125
342301,3,Yes,intact,0.9375
344058,4,No,1B,4.6875
344058,4,No,2B,3.84375
344058,4,No,8B,2.34375
344058,4,No,intact,1.9375
344111,3,Yes,1B,8.4375
344111,3,Yes,2B,5.625
344111,3,Yes,8B,8.90625
344111,3,Yes,intact,2.8125
344739,4,Yes,1B,15.40625
344739,4,Yes,2B,17.0625
344739,4,Yes,8B,9.09375
344739,4,Yes,intact,0
346025,4,Yes,1B,3.875
346025,4,Yes,2B,1.875
346025,4,Yes,8B,3.875
346025,4,Yes,intact,0.96875
352007,3,No,1B,7.96875
352007,3,No,2B,8.90625
352007,3,No,8B,6.5625
352007,3,No,intact,4.21875
352021,4,No,1B,1.875
352021,4,No,2B,1.40625
352021,4,No,8B,0.9375
352021,4,No,intact,1.96875
353993,4,Yes,1B,4.21875
353993,4,Yes,2B,1.875
353993,4,Yes,8B,0.9375
353993,4,Yes,intact,1.875
354009,4,Yes,1B,0
354009,4,Yes,2B,0
354009,4,Yes,8B,0
354009,4,Yes,intact,0
355341,4,No,1B,0.9375
355341,4,No,2B,0
355341,4,No,8B,0
355341,4,No,intact,0
355343,3,No,1B,8.90625
355343,3,No,2B,7.96875
355343,3,No,8B,4.6875
355343,3,No,intact,6.5625
355346,4,No,1B,5.3125
355346,4,No,2B,3.28125
355346,4,No,8B,3.28125
355346,4,No,intact,3.75
355373,3,No,1B,6.5625
355373,3,No,2B,7.5
355373,3,No,8B,5.15625
355373,3,No,intact,5.625
355519,4,No,1B,0.96875
355519,4,No,2B,0.9375
355519,4,No,8B,0.9375
355519,4,No,intact,0.9375
356778,4,Yes,1B,0
356778,4,Yes,2B,0
356778,4,Yes,8B,1.90625
356778,4,Yes,intact,0
356785,4,Yes,1B,4.34375
356785,4,Yes,2B,3.75
356785,4,Yes,8B,2.34375
356785,4,Yes,intact,3.75
356799,4,No,1B,1.40625
356799,4,No,2B,1.875
356799,4,No,8B,0.9375
356799,4,No,intact,1.40625
356801,4,No,1B,6.09375
356801,4,No,2B,5.15625
356801,4,No,8B,6.3125
356801,4,No,intact,6.5625
357404,3,Yes,1B,7.96875
357404,3,Yes,2B,8.4375
357404,3,Yes,8B,2.8125
357404,3,Yes,intact,8.4375
357409,3,Yes,1B,7.96875
357409,3,Yes,2B,6.5625
357409,3,Yes,8B,3.75
357409,3,Yes,intact,3.28125
357422,3,No,1B,9.84375
357422,3,No,2B,9.375
357422,3,No,8B,2.8125
357422,3,No,intact,3.28125
357427,3,No,1B,4.6875
357427,3,No,2B,5.15625
357427,3,No,8B,2.8125
357427,3,No,intact,2.8125
357468,4,No,1B,6.25
357468,4,No,2B,7.25
357468,4,No,8B,4.21875
357468,4,No,intact,4.375
359105,4,Yes,1B,7.03125
359105,4,Yes,2B,7.3125
359105,4,Yes,8B,2.9375
359105,4,Yes,intact,2.8125
359116,3,Yes,1B,9.84375
359116,3,Yes,2B,11.25
359116,3,Yes,8B,3.28125
359116,3,Yes,intact,3.75
359117,4,Yes,1B,8.15625
359117,4,Yes,2B,11.15625
359117,4,Yes,8B,2.90625
359117,4,Yes,intact,6.375
359121,4,No,1B,17.8125
359121,4,No,2B,11.25
359121,4,No,8B,4.6875
359121,4,No,intact,20.625
360225,3,Yes,1B,1.40625
360225,3,Yes,2B,0.9375
360225,3,Yes,8B,0.9375
360225,3,Yes,intact,1.40625
360230,3,Yes,1B,7.96875
360230,3,Yes,2B,5.625
360230,3,Yes,8B,3.28125
360230,3,Yes,intact,5.15625
360247,3,No,1B,0.46875
360247,3,No,2B,0.46875
360247,3,No,8B,0
360247,3,No,intact,0
360430,4,Yes,1B,7.28125
360430,4,Yes,2B,5.15625
360430,4,Yes,8B,4.6875
360430,4,Yes,intact,0
360625,3,Yes,1B,7.03125
360625,3,Yes,2B,3.75
360625,3,Yes,8B,3.75
360625,3,Yes,intact,5.15625
360645,3,No,1B,2.8125
360645,3,No,2B,3.28125
360645,3,No,8B,2.8125
360645,3,No,intact,2.34375
361062,4,No,1B,0.9375
361062,4,No,2B,0.9375
361062,4,No,8B,1.46875
361062,4,No,intact,0.96875
361063,3,No,1B,1.40625
361063,3,No,2B,1.875
361063,3,No,8B,1.40625
361063,3,No,intact,0.9375
361567,4,Yes,1B,0
361567,4,Yes,2B,0
361567,4,Yes,8B,0
361567,4,Yes,intact,0
361611,3,Yes,1B,1.875
361611,3,Yes,2B,2.34375
361611,3,Yes,8B,0.9375
361611,3,Yes,intact,1.875
361615,4,Yes,1B,0
361615,4,Yes,2B,0
361615,4,Yes,8B,1.5
361615,4,Yes,intact,0
361865,3,No,1B,2.8125
361865,3,No,2B,2.8125
361865,3,No,8B,1.40625
361865,3,No,intact,1.875
361959,4,Yes,1B,6.8125
361959,4,Yes,2B,7.8125
361959,4,Yes,8B,2.8125
361959,4,Yes,intact,4.875
362551,3,Yes,1B,0
362551,3,Yes,2B,0
362551,3,Yes,8B,0
362551,3,Yes,intact,0
362553,3,No,1B,6.09375
362553,3,No,2B,6.09375
362553,3,No,8B,5.15625
362553,3,No,intact,7.96875
362580,3,No,1B,13.59375
362580,3,No,2B,14.53125
362580,3,No,8B,8.90625
362580,3,No,intact,13.59375
362637,4,No,1B,6.5625
362637,4,No,2B,4.8125
362637,4,No,8B,3.875
362637,4,No,intact,6.28125
363111,4,Yes,1B,0
363111,4,Yes,2B,0.5
363111,4,Yes,8B,0
363111,4,Yes,intact,0
363707,3,No,1B,3.28125
363707,3,No,2B,3.75
363707,3,No,8B,1.875
363707,3,No,intact,3.75
364125,3,No,1B,8.4375
364125,3,No,2B,10.78125
364125,3,No,8B,9.375
364125,3,No,intact,20.625
385575,3,Yes,1B,0
385575,3,Yes,2B,0
385575,3,Yes,8B,0
385575,3,Yes,intact,0
385577,3,Yes,1B,3.28125
385577,3,Yes,2B,7.5
385577,3,Yes,8B,3.75
385577,3,Yes,intact,6.5625
385662,4,Yes,1B,0
385662,4,Yes,2B,0.46875
385662,4,Yes,8B,0.96875
385662,4,Yes,intact,0.46875
385673,4,No,1B,1.4375
385673,4,No,2B,1.40625
385673,4,No,8B,1.46875
385673,4,No,intact,1.4375
388167,4,Yes,1B,2.8125
388167,4,Yes,2B,3.40625
388167,4,Yes,8B,1.875
388167,4,Yes,intact,1.40625
388171,4,Yes,1B,5.25
388171,4,Yes,2B,5.28125
388171,4,Yes,8B,3.28125
388171,4,Yes,intact,2.8125
388216,3,Yes,1B,4.6875
388216,3,Yes,2B,2.8125
388216,3,Yes,8B,2.34375
388216,3,Yes,intact,3.28125
389621,3,Yes,1B,15
389621,3,Yes,2B,9.375
389621,3,Yes,8B,2.8125
389621,3,Yes,intact,4.21875
389641,3,Yes,1B,5.625
389641,3,Yes,2B,7.03125
389641,3,Yes,8B,6.5625
389641,3,Yes,intact,6.09375
481793,4,No,1B,9.125
481793,4,No,2B,7.5
481793,4,No,8B,4.84375
481793,4,No,intact,6.3125
481795,4,No,1B,21.8125
481795,4,No,2B,10.625
481795,4,No,8B,4.40625
481795,4,No,intact,5.625
481798,3,No,1B,5.625
481798,3,No,2B,6.09375
481798,3,No,8B,5.15625
481798,3,No,intact,2.8125
481849,4,Yes,1B,7.5
481849,4,Yes,2B,9.25
481849,4,Yes,8B,4.375
481849,4,Yes,intact,2.96875
481854,3,Yes,1B,6.5625
481854,3,Yes,2B,7.03125
481854,3,Yes,8B,3.28125
481854,3,Yes,intact,3.28125
481883,3,No,1B,5.15625
481883,3,No,2B,5.625
481883,3,No,8B,6.09375
481883,3,No,intact,5.625
483538,4,Yes,1B,5.625
483538,4,Yes,2B,5.15625
483538,4,Yes,8B,3.375
483538,4,Yes,intact,2.4375
484185,4,No,1B,1.9375
484185,4,No,2B,1.46875
484185,4,No,8B,0.46875
484185,4,No,intact,0.9375
610499,4,No,1B,2.84375
610499,4,No,2B,0
610499,4,No,8B,0.46875
610499,4,No,intact,3.75
610501,4,No,1B,5.15625
610501,4,No,2B,4.34375
610501,4,No,8B,3.28125
610501,4,No,intact,0.9375
610503,3,No,1B,7.03125
610503,3,No,2B,7.03125
610503,3,No,8B,5.15625
610503,3,No,intact,4.21875
610522,4,No,1B,3.84375
610522,4,No,2B,0.9375
610522,4,No,8B,2.8125
610522,4,No,intact,0.46875
610756,3,Yes,1B,7.5
610756,3,Yes,2B,6.09375
610756,3,Yes,8B,2.8125
610756,3,Yes,intact,2.34375
611455,3,No,1B,3.75
611455,3,No,2B,5.15625
611455,3,No,8B,2.8125
611455,3,No,intact,1.40625
